PLANE,0,0,550,500
VIEWBOX,100,100,300,300
RENDERBOX,-200,-200,950,900
HERO,200,200,20,20
null,0,0,50,20
GRASS,523,362,50,30
GRASS,-889,-448,50,30
GRASS,505,-86,50,30
GRASS,-788,-690,50,30
GRASS,-531,-671,50,30
GRASS,-13,960,50,30
GRASS,984,-787,50,30
GRASS,419,-349,50,30
GRASS,-993,819,50,30
GRASS,-8,-174,50,30
GRASS,537,723,50,30
GRASS,-855,-291,50,30
GRASS,-286,-166,50,30
GRASS,-892,179,50,30
GRASS,617,444,50,30
GRASS,-509,-111,50,30
GRASS,-112,962,50,30
GRASS,-653,518,50,30
GRASS,-767,678,50,30
GRASS,439,260,50,30
GRASS,-95,725,50,30
GRASS,140,883,50,30
GRASS,-266,605,50,30
GRASS,743,-110,50,30
GRASS,458,745,50,30
GRASS,-210,-747,50,30
GRASS,604,-932,50,30
GRASS,975,904,50,30
GRASS,823,-106,50,30
GRASS,199,923,50,30
GRASS,902,284,50,30
GRASS,763,717,50,30
GRASS,345,897,50,30
GRASS,-50,-251,50,30
GRASS,-653,-708,50,30
GRASS,75,756,50,30
GRASS,719,516,50,30
GRASS,644,-910,50,30
GRASS,422,322,50,30
GRASS,824,597,50,30
GRASS,-794,-232,50,30
GRASS,159,56,50,30
GRASS,382,-389,50,30
GRASS,-749,221,50,30
GRASS,-805,-412,50,30
GRASS,525,-768,50,30
GRASS,802,-365,50,30
GRASS,-775,937,50,30
GRASS,478,77,50,30
GRASS,-293,-530,50,30
GRASS,-889,-688,50,30
GRASS,276,-531,50,30
GRASS,502,-691,50,30
GRASS,476,-714,50,30
GRASS,-595,-354,50,30
GRASS,-952,258,50,30
GRASS,140,-345,50,30
GRASS,-185,783,50,30
GRASS,-267,-572,50,30
GRASS,242,-512,50,30
GRASS,964,756,50,30
GRASS,-127,198,50,30
GRASS,-287,-8,50,30
GRASS,481,-274,50,30
GRASS,979,722,50,30
GRASS,275,-247,50,30
GRASS,59,441,50,30
GRASS,-233,683,50,30
GRASS,642,962,50,30
GRASS,-287,-265,50,30
GRASS,-987,821,50,30
GRASS,-491,-335,50,30
GRASS,-514,-491,50,30
GRASS,476,-967,50,30
GRASS,319,62,50,30
GRASS,-693,-152,50,30
GRASS,-572,938,50,30
GRASS,417,875,50,30
GRASS,978,58,50,30
GRASS,736,921,50,30
GRASS,417,482,50,30
GRASS,483,60,50,30
GRASS,-771,-753,50,30
GRASS,437,-846,50,30
GRASS,884,-292,50,30
GRASS,896,-654,50,30
GRASS,601,255,50,30
GRASS,-129,717,50,30
GRASS,821,656,50,30
GRASS,-106,-886,50,30
GRASS,-555,323,50,30
GRASS,-330,542,50,30
GRASS,-27,-192,50,30
GRASS,555,-587,50,30
GRASS,3,725,50,30
GRASS,-686,739,50,30
GRASS,603,-808,50,30
GRASS,-150,400,50,30
GRASS,-85,-271,50,30
GRASS,619,-229,50,30
