PLANE,0,0,550,500
VIEWBOX,100,100,300,300
RENDERBOX,-200,-200,950,900
HERO,200,200,20,20
GRASS,364,-827,50,30
GRASS,875,-329,50,30
GRASS,-426,-9,50,30
GRASS,955,121,50,30
GRASS,782,715,50,30
GRASS,-285,-473,50,30
GRASS,-913,644,50,30
GRASS,-72,-109,50,30
GRASS,396,-710,50,30
GRASS,-829,-451,50,30
GRASS,-233,-294,50,30
GRASS,741,619,50,30
GRASS,480,656,50,30
GRASS,-174,144,50,30
GRASS,522,177,50,30
GRASS,-471,-510,50,30
GRASS,-871,242,50,30
GRASS,641,-432,50,30
GRASS,-31,-285,50,30
GRASS,-813,659,50,30
GRASS,59,-788,50,30
GRASS,337,-947,50,30
GRASS,678,765,50,30
GRASS,-254,781,50,30
GRASS,439,598,50,30
GRASS,-430,-365,50,30
GRASS,-250,917,50,30
GRASS,-27,-374,50,30
GRASS,-746,-568,50,30
GRASS,-166,976,50,30
GRASS,402,-653,50,30
GRASS,539,-670,50,30
GRASS,-975,-6,50,30
GRASS,-469,-548,50,30
GRASS,-874,-471,50,30
GRASS,420,721,50,30
GRASS,-305,-834,50,30
GRASS,-225,-730,50,30
GRASS,579,-253,50,30
GRASS,384,998,50,30
GRASS,-830,637,50,30
GRASS,604,502,50,30
GRASS,-470,-471,50,30
GRASS,-405,-133,50,30
GRASS,-110,224,50,30
GRASS,-6,-428,50,30
GRASS,359,-609,50,30
GRASS,899,677,50,30
GRASS,-849,-670,50,30
GRASS,-487,-708,50,30
GRASS,84,857,50,30
GRASS,916,17,50,30
GRASS,220,5,50,30
GRASS,762,296,50,30
GRASS,-687,-413,50,30
GRASS,541,-814,50,30
GRASS,-630,-10,50,30
GRASS,-125,-571,50,30
GRASS,-525,-945,50,30
GRASS,-988,602,50,30
GRASS,956,804,50,30
GRASS,900,-331,50,30
GRASS,457,38,50,30
GRASS,-107,421,50,30
GRASS,543,162,50,30
GRASS,-248,104,50,30
GRASS,-527,680,50,30
GRASS,279,624,50,30
GRASS,-487,758,50,30
GRASS,-448,-30,50,30
GRASS,804,122,50,30
GRASS,916,216,50,30
GRASS,-6,775,50,30
GRASS,-990,-830,50,30
GRASS,283,662,50,30
GRASS,41,376,50,30
GRASS,-914,-571,50,30
GRASS,78,596,50,30
GRASS,16,177,50,30
GRASS,680,-26,50,30
GRASS,-505,341,50,30
GRASS,-392,419,50,30
GRASS,-867,-468,50,30
GRASS,19,-588,50,30
GRASS,360,978,50,30
GRASS,-206,117,50,30
GRASS,579,735,50,30
GRASS,-572,-289,50,30
GRASS,881,-552,50,30
GRASS,-213,535,50,30
GRASS,-29,-751,50,30
GRASS,-806,-669,50,30
GRASS,-569,-125,50,30
GRASS,-649,217,50,30
GRASS,856,537,50,30
GRASS,979,-147,50,30
GRASS,357,821,50,30
GRASS,-566,-411,50,30
GRASS,-868,-632,50,30
GRASS,-127,-788,50,30
